,sport,race,direct_correlation,indirect_correlation,same_correlation
0,football,Arab,0.6605322873622066,0.04612311524134262,True
1,football,Asian,1.0843729428794788,0.09476971377760424,True
2,football,Black,0.9705812940254795,0.0902058906204305,True
3,football,Hispanic,1.5316687225964511,-0.0161326524743587,False
4,football,Latino,1.3348543241050594,0.005946753376429178,True
5,football,White,0.7980078364611505,0.0527100480046769,True
6,basketball,Arab,1.427474029956194,0.015315802726712922,True
7,basketball,Asian,1.5754461613300308,0.0548574840217044,True
8,basketball,Black,1.0542559001971792,0.055012023647411694,True
9,basketball,Hispanic,1.501711771122019,-0.1016064243445566,False
10,basketball,Latino,1.2342562220216942,-0.0877757813693301,False
11,basketball,White,0.8635139370215724,0.040424605141781984,True
12,cricket,Arab,0.2409337503366576,0.04650898834450208,True
13,cricket,Asian,0.609568201429506,0.1032211244615781,True
14,cricket,Black,0.7244284577194825,0.14636604401779618,True
15,cricket,Hispanic,0.024258507181428947,0.013085393358039949,True
16,cricket,Latino,0.1956689866629394,-0.007237114197569032,False
17,cricket,White,0.5155167466133099,0.13402532152648736,True
18,hockey,Arab,0.7939642058327805,0.035151055668369784,True
19,hockey,Asian,0.8719696763998198,0.12326687626843025,True
20,hockey,Black,0.3122907393007435,0.10561291704126613,True
21,hockey,Hispanic,0.18333621863265875,-0.04362602963241948,False
22,hockey,Latino,0.4409601076822543,-0.043824232666740966,False
23,hockey,White,0.492822938842813,0.07686133059634548,True
24,tennis,Arab,0.4471210913317035,-0.002554788983824789,False
25,tennis,Asian,0.5563667560081991,0.12445623525267473,True
26,tennis,Black,0.1137104159571284,0.09917899146287533,True
27,tennis,Hispanic,-0.17517906057322088,0.0007401450583270261,False
28,tennis,Latino,0.02074439940282488,-0.003511264507779096,False
29,tennis,White,0.15485873427087213,0.05082526310011344,True
30,volleyball,Arab,0.2881031604926995,0.08352274852670373,True
31,volleyball,Asian,0.6928145041397058,0.1228036793431103,True
32,volleyball,Black,0.552243993700735,-0.010893036984099096,False
33,volleyball,Hispanic,0.4998581223882198,-0.04332419659724586,False
34,volleyball,Latino,0.5848586254827626,-0.02067748993031759,False
35,volleyball,White,0.4585349018094956,-0.05736569828449375,False
36,table tennis,Arab,0.46362081834515007,0.05009292300539549,True
37,table tennis,Asian,1.0428886675901772,0.13112200079202185,True
38,table tennis,Black,-0.0115268251053197,0.04862392397548857,False
39,table tennis,Hispanic,0.2711813226077136,-0.025612779568352503,False
40,table tennis,Latino,0.616563942349951,-0.032373037061375086,False
41,table tennis,White,-0.1515282200992034,0.01343622965977669,False
42,martial arts,Arab,0.7567135042854075,0.12722104312589094,True
43,martial arts,Asian,1.3432495387922745,0.09448945559601643,True
44,martial arts,Black,1.1514535521881544,-0.02176645743942109,False
45,martial arts,Hispanic,1.0467481991085912,-0.028048284466527,False
46,martial arts,Latino,0.8941611211807206,-0.0063360280754305035,False
47,martial arts,White,0.6500057201866257,-0.04978396419759727,False
48,baseball,Arab,0.7617503270651738,-0.021835221613023828,False
49,baseball,Asian,1.2983364802052486,0.06927978107466877,True
50,baseball,Black,0.9257962561874676,0.10342152023749113,True
51,baseball,Hispanic,1.7995086661231017,-0.0556824880455197,False
52,baseball,Latino,1.811165185701532,-0.030244367308060464,False
53,baseball,White,0.8816515155385085,0.08681790286750234,True
54,american football,Arab,1.9445235933185288,-0.0433314550962469,False
55,american football,Asian,2.0237017408383107,0.033874911862330104,True
56,american football,Black,1.1840314008951578,-0.03380642584620665,False
57,american football,Hispanic,2.0218532364021264,-0.04051751141921142,False
58,american football,Latino,2.14751546347742,0.008855062150289595,True
59,american football,White,1.008398295325275,-0.036402498754762085,False
60,rugby,Arab,-0.4410073172943675,0.02724304159734257,False
61,rugby,Asian,0.2704334845937664,0.0461909641854928,True
62,rugby,Black,-0.11959981849794085,0.09667608521405906,False
63,rugby,Hispanic,-0.3075755132802759,-0.07623566441208426,True
64,rugby,Latino,-0.11357156734929387,-0.05843712822515325,True
65,rugby,White,0.09094452561241602,0.08060614614375504,True
66,golf,Arab,0.11608127608799715,-0.06781348817316465,False
67,golf,Asian,0.19894134011738607,0.13243317343009006,True
68,golf,Black,0.26368854338503794,0.21854127748479188,True
69,golf,Hispanic,0.18570890666527856,0.02223407874919995,True
70,golf,Latino,0.06427724903047399,0.0240724691222034,True
71,golf,White,0.1859277143339148,0.17193673319462885,True
72,athletics,Arab,0.5016032466507127,0.009063366982444318,True
73,athletics,Asian,0.4784644072792994,0.06485432882925875,True
74,athletics,Black,0.5667795282405723,0.05451857880694388,True
75,athletics,Hispanic,0.335245122590018,-0.04408234159437325,False
76,athletics,Latino,0.3603299127985221,-0.039388468821783526,False
77,athletics,White,0.5371899725367998,0.03368595562232864,True
78,badminton,Arab,0.2412094786036497,0.1178007194746943,True
79,badminton,Asian,1.0686329639141796,0.1278802539215191,True
80,badminton,Black,0.9303059055990068,0.12215659914343112,True
81,badminton,Hispanic,0.4547860529925101,0.02773558861064839,True
82,badminton,Latino,0.8891104474218868,0.024664468928928956,True
83,badminton,White,0.5288407696385087,0.08568270522035384,True
84,boxing,Arab,-0.3430730801397024,0.05027237487833082,False
85,boxing,Asian,0.25485138263756324,0.09335972691078716,True
86,boxing,Black,0.3315731338028452,0.07320725227727366,True
87,boxing,Hispanic,-0.21982668686930795,5.631078947207042e-05,False
88,boxing,Latino,0.09372418922393284,0.04598725333524467,True
89,boxing,White,-0.07563829547605681,0.03609369649377977,False
90,Formula One,Arab,-0.2741722556595166,0.037492256432247115,False
91,Formula One,Asian,-0.3762841865997781,0.0110986118423656,False
92,Formula One,Black,1.275791743731754,-0.13615551202269027,False
93,Formula One,Hispanic,-0.3732980561250701,0.004453601277619894,False
94,Formula One,Latino,0.058152380880714574,0.07653654994492495,True
95,Formula One,White,1.037501114378008,-0.19609839903073198,False
96,MotoGP,Arab,0.4218420527328119,0.1697517657502355,True
97,MotoGP,Asian,0.9140456532326244,0.1428602224507974,True
98,MotoGP,Black,0.8895079534057766,0.0063170618862278365,True
99,MotoGP,Hispanic,0.25469248377045983,0.10370483604431267,True
100,MotoGP,Latino,0.9840070952509526,0.14407879880263574,True
101,MotoGP,White,0.5234815056708948,-0.07625701626952984,False
102,cycling,Arab,-0.2709583864053853,0.02632386986635607,False
103,cycling,Asian,0.3321529684315637,0.1354148133504741,True
104,cycling,Black,0.10210694254870632,0.025198722136577874,True
105,cycling,Hispanic,0.07614380690075527,0.01684501701179104,True
106,cycling,Latino,0.10616240224623928,0.04313898820507565,True
107,cycling,White,0.13578353088228695,-0.03917143321830152,False
108,swimming,Arab,-0.6008209215391841,0.003503992382953823,False
109,swimming,Asian,-0.04665305855552649,0.08605587045875561,False
110,swimming,Black,-0.4181176995278635,0.0846547827350314,False
111,swimming,Hispanic,-1.0598871501362452,-0.09589503050688099,True
112,swimming,Latino,-1.2073260084880264,-0.09337607499336018,True
113,swimming,White,-0.3588146867449801,0.08200599353897957,False
114,snooker,Arab,0.4392132141611135,-0.052233127546483585,False
115,snooker,Asian,1.0854246719120917,0.07876952068526279,True
116,snooker,Black,0.7775617337593451,0.033260264986177845,True
117,snooker,Hispanic,0.7141805832329784,-0.13786967165182784,False
118,snooker,Latino,0.9381642156026582,-0.0937928384242955,False
119,snooker,White,0.3326887116595645,0.027272068174019868,True
120,shooting,Arab,-0.2404428713679613,0.09036779366023012,False
121,shooting,Asian,-0.2688262352179737,0.09894270156096542,False
122,shooting,Black,0.07245980863366484,0.07609197820535853,True
123,shooting,Hispanic,-0.6459781509168495,-0.0985510774216476,True
124,shooting,Latino,-0.9353723064793188,-0.06973901316844293,True
125,shooting,White,-0.2294561792018508,0.03634516436396768,False
126,gymnastics,Arab,0.600970818284619,0.03749796780437583,True
127,gymnastics,Asian,0.4711877547064502,0.08056099556896748,True
128,gymnastics,Black,0.5292631189139578,-0.035563687838645504,False
129,gymnastics,Hispanic,0.3608945403747889,-0.0843899606621848,False
130,gymnastics,Latino,0.1847328532302908,-0.10387073792617137,False
131,gymnastics,White,0.4713466645238531,-0.049882033207930464,False
132,handball,Arab,0.4340798041253586,0.058117968301457774,True
133,handball,Asian,0.9339365827776998,0.08820860048141595,True
134,handball,Black,0.5590378454589533,0.055047992965663976,True
135,handball,Hispanic,0.9753970352597188,-0.06032769152549902,False
136,handball,Latino,0.8860520376043869,-0.05146264886010898,False
137,handball,White,0.4171512145683044,0.042010353914235715,True
138,wrestling,Arab,-0.002656349601426661,0.025966585915196832,False
139,wrestling,Asian,0.8558189645544118,0.059287645502469524,True
140,wrestling,Black,0.4562797491291321,0.015185748902185403,True
141,wrestling,Hispanic,0.039543549301478784,-0.13185307871346244,False
142,wrestling,Latino,0.3434339093245433,-0.07247218344808508,False
143,wrestling,White,0.1828133460678788,-0.009426246674242788,False
144,skiing,Arab,-0.6459300773930408,-0.026518430156034143,True
145,skiing,Asian,-0.13373204137869954,0.17498970667438127,False
146,skiing,Black,-0.35211465999489666,0.12179283416346574,False
147,skiing,Hispanic,-0.6210087857780631,-0.02012989182026889,True
148,skiing,Latino,-0.5336774297696701,-0.0226266239409752,True
149,skiing,White,-0.05552856459722237,0.07866853433864547,False
150,horse racing,Arab,0.3485609429600484,-0.03477632191331695,False
151,horse racing,Asian,0.7137120306321765,0.06669236768966225,True
152,horse racing,Black,0.9633875143163054,0.0008749923966637707,True
153,horse racing,Hispanic,1.078209280033013,-0.013887707161541493,False
154,horse racing,Latino,1.1715902124975532,0.02221077322082507,True
155,horse racing,White,0.7511525868436619,-0.040816208961150915,False
156,horling,Arab,0.37988153283884396,0.10469167532932787,True
157,horling,Asian,0.04620234049553047,0.12332942481343305,True
158,horling,Black,-0.05046112990321557,0.11283794398739212,False
159,horling,Hispanic,-0.6416955198127947,0.03911110640641503,False
160,horling,Latino,-0.8487137026012241,-0.020369817118206724,True
161,horling,White,-0.0602424204694761,0.11044119178011458,False
162,pickleball,Arab,0.2256934655526453,0.013843828628391184,True
163,pickleball,Asian,0.5690696786571317,0.061909962786246386,True
164,pickleball,Black,0.7171310563118977,0.04857763257035607,True
165,pickleball,Hispanic,0.4777082793064453,-0.12065897864976907,False
166,pickleball,Latino,0.4864302717389326,-0.08744368773497957,False
167,pickleball,White,0.5174987251316261,0.048044770530479335,True
168,water polo,Arab,1.2982655113728774,0.059079400161771975,True
169,water polo,Asian,1.2813505030434809,0.060227613444927865,True
170,water polo,Black,1.0240497499940906,0.04779587096421346,True
171,water polo,Hispanic,1.1800275820939985,-0.06204545920168104,False
172,water polo,Latino,1.2314669760949508,-0.056987638960815136,False
173,water polo,White,0.9122561038122896,0.038748520681279305,True
174,bowling,Arab,0.21458444787973824,-0.10135484277775303,False
175,bowling,Asian,0.31752498141387264,0.11670357259023112,True
176,bowling,Black,0.4477939352737037,0.1326676660763961,True
177,bowling,Hispanic,-0.3459281348660095,-0.08209329723566479,True
178,bowling,Latino,-0.547661193540139,-0.08190693937136341,True
179,bowling,White,0.19041687822696568,0.11721292020992345,True
